# Wavelength     HSO3- Molar Decadic Absorption Coefficient 
#  (nm)   (M$^{-1}$cm$^{-1}$)
214.06 9.303016e+01
214.17 9.217015e+01
214.17 9.131839e+01
214.17 9.028803e+01
214.28 8.880974e+01
214.38 8.798874e+01
214.38 8.717562e+01
214.38 8.619201e+01
214.49 8.478079e+01
214.59 8.399703e+01
214.59 8.322080e+01
214.59 8.245174e+01
214.60 8.152143e+01
214.70 8.018668e+01
214.80 7.944539e+01
214.81 7.871122e+01
214.81 7.798384e+01
214.81 7.726318e+01
214.91 7.654892e+01
215.02 7.584126e+01
215.02 7.514040e+01
215.02 7.444601e+01
215.02 7.375804e+01
215.12 7.307619e+01
215.23 7.240063e+01
215.23 7.173157e+01
215.23 7.106868e+01
215.23 7.041192e+01
215.23 6.976124e+01
215.34 6.911633e+01
215.44 6.847738e+01
215.44 6.784457e+01
215.44 6.721761e+01
215.44 6.659644e+01
215.55 6.598079e+01
215.65 6.537083e+01
215.65 6.476672e+01
215.65 6.416820e+01
215.66 6.357521e+01
215.66 6.298770e+01
215.86 6.240520e+01
215.86 6.182851e+01
215.87 6.125714e+01
215.87 6.069105e+01
215.87 6.013019e+01
215.97 5.957432e+01
216.08 5.902358e+01
216.08 5.847814e+01
216.08 5.793773e+01
216.08 5.740232e+01
216.08 5.687185e+01
216.29 5.634591e+01
216.29 5.582521e+01
216.29 5.530932e+01
216.29 5.479820e+01
216.29 5.429180e+01
216.50 5.378971e+01
216.50 5.329263e+01
216.50 5.280015e+01
216.50 5.231221e+01
216.50 5.182879e+01
216.51 5.134983e+01
216.71 5.087495e+01
216.71 5.040481e+01
216.71 4.993901e+01
216.72 4.947751e+01
216.72 4.902028e+01
216.92 4.856695e+01
216.92 4.811814e+01
216.93 4.767347e+01
216.93 4.723291e+01
216.93 4.679642e+01
216.93 4.636397e+01
217.14 4.593520e+01
217.14 4.551071e+01
217.14 4.509013e+01
217.14 4.467345e+01
217.14 4.426061e+01
217.35 4.385130e+01
217.35 4.344606e+01
217.35 4.304457e+01
217.35 4.264678e+01
217.35 4.225268e+01
217.49 4.179730e+01
217.56 4.147508e+01
217.56 4.109180e+01
217.56 4.071206e+01
217.56 4.033584e+01
217.57 3.996309e+01
217.77 3.959351e+01
217.77 3.922762e+01
217.77 3.886511e+01
217.78 3.850596e+01
217.78 3.815011e+01
217.98 3.779731e+01
217.99 3.744802e+01
217.99 3.710195e+01
217.99 3.675909e+01
217.99 3.641939e+01
218.20 3.608259e+01
218.20 3.574915e+01
218.20 3.541878e+01
218.20 3.509147e+01
218.20 3.476718e+01
218.20 3.444589e+01
218.41 3.412734e+01
218.41 3.381197e+01
218.41 3.349950e+01
218.41 3.318993e+01
218.41 3.288322e+01
218.62 3.257912e+01
218.62 3.227805e+01
218.62 3.197976e+01
218.62 3.168423e+01
218.62 3.139143e+01
218.83 3.110113e+01
218.83 3.081372e+01
218.83 3.052896e+01
218.84 3.024684e+01
218.84 2.996732e+01
218.94 2.969029e+01
219.04 2.941582e+01
219.05 2.914398e+01
219.05 2.887466e+01
219.05 2.860782e+01
219.05 2.834345e+01
219.26 2.808134e+01
219.26 2.782183e+01
219.26 2.756472e+01
219.26 2.730999e+01
219.26 2.705762e+01
219.47 2.680739e+01
219.47 2.655966e+01
219.47 2.631422e+01
219.47 2.607104e+01
219.47 2.583012e+01
219.58 2.559133e+01
219.68 2.535475e+01
219.68 2.512044e+01
219.68 2.488830e+01
219.68 2.465830e+01
219.69 2.443043e+01
219.89 2.420450e+01
219.89 2.398083e+01
219.89 2.375921e+01
219.90 2.353965e+01
219.90 2.332212e+01
220.10 2.310644e+01
220.10 2.289291e+01
220.11 2.268135e+01
220.11 2.247175e+01
220.11 2.226408e+01
220.21 2.205826e+01
220.32 2.185434e+01
220.32 2.165239e+01
220.32 2.145229e+01
220.32 2.125405e+01
220.42 2.105756e+01
220.53 2.086290e+01
220.53 2.067010e+01
220.53 2.047908e+01
220.53 2.028983e+01
220.53 2.010233e+01
220.74 1.991643e+01
220.74 1.973238e+01
220.74 1.955003e+01
220.74 1.936936e+01
220.74 1.919037e+01
220.85 1.901296e+01
220.95 1.883719e+01
220.95 1.866312e+01
220.95 1.849065e+01
220.96 1.831977e+01
221.06 1.815042e+01
221.16 1.798262e+01
221.16 1.781644e+01
221.17 1.765180e+01
221.17 1.748867e+01
221.17 1.732706e+01
221.37 1.716682e+01
221.38 1.700818e+01
221.38 1.685100e+01
221.38 1.669528e+01
221.38 1.654100e+01
221.48 1.638808e+01
221.59 1.623658e+01
221.59 1.608654e+01
221.59 1.593788e+01
221.59 1.579060e+01
221.70 1.564462e+01
221.80 1.549999e+01
