# Wavelength SO3[2-] Molar Decadic Absorption Coefficient 
#  (nm)   (M$^{-1}$cm$^{-1}$)
219.30 1.620018e+03
219.40 1.600908e+03
219.50 1.590204e+03
219.61 1.571446e+03
219.71 1.560939e+03
219.82 1.542526e+03
219.92 1.532212e+03
220.02 1.514138e+03
220.13 1.504014e+03
220.23 1.486272e+03
220.33 1.476335e+03
220.44 1.458919e+03
220.54 1.449165e+03
220.65 1.432070e+03
220.75 1.422495e+03
220.85 1.405715e+03
220.96 1.396316e+03
221.06 1.379845e+03
221.16 1.370619e+03
221.27 1.354451e+03
221.37 1.345395e+03
221.48 1.329524e+03
221.58 1.320635e+03
221.68 1.305056e+03
221.79 1.296331e+03
221.89 1.281039e+03
221.99 1.272473e+03
222.10 1.257463e+03
222.20 1.249055e+03
222.31 1.234321e+03
222.41 1.226068e+03
222.51 1.211605e+03
222.62 1.203504e+03
222.72 1.189308e+03
222.83 1.181356e+03
222.93 1.167420e+03
223.03 1.159615e+03
223.14 1.145935e+03
223.24 1.138274e+03
223.45 1.119633e+03
223.45 1.109286e+03
223.45 1.099035e+03
223.66 1.088871e+03
223.66 1.078809e+03
223.86 1.068832e+03
223.87 1.058955e+03
224.07 1.049162e+03
224.07 1.039467e+03
224.28 1.029854e+03
224.28 1.020337e+03
224.49 1.010901e+03
224.49 1.001559e+03
224.69 9.922966e+02
224.70 9.831266e+02
224.90 9.740349e+02
224.90 9.650336e+02
225.11 9.561092e+02
225.11 9.472736e+02
225.21 9.385165e+02
225.32 9.298404e+02
225.32 9.212476e+02
225.53 9.127281e+02
225.53 9.042934e+02
225.73 8.959306e+02
225.74 8.876512e+02
225.94 8.794424e+02
225.94 8.713153e+02
226.15 8.632575e+02
226.15 8.552800e+02
226.25 8.473734e+02
226.36 8.395398e+02
226.36 8.317815e+02
226.57 8.240893e+02
226.57 8.164738e+02
226.77 8.089232e+02
226.77 8.014478e+02
226.98 7.940361e+02
226.98 7.866983e+02
227.09 7.794257e+02
227.19 7.722203e+02
227.29 7.650815e+02
227.40 7.580087e+02
227.40 7.510038e+02
227.60 7.440586e+02
227.61 7.371827e+02
227.81 7.303653e+02
227.81 7.236159e+02
227.92 7.169264e+02
228.02 7.102988e+02
228.02 7.037348e+02
228.23 6.972268e+02
228.23 6.907836e+02
228.44 6.843954e+02
228.44 6.780707e+02
228.54 6.718023e+02
228.65 6.655918e+02
228.75 6.594388e+02
228.85 6.533426e+02
228.85 6.473049e+02
229.06 6.413188e+02
229.06 6.353922e+02
229.17 6.295184e+02
229.27 6.236988e+02
229.37 6.179330e+02
229.48 6.122205e+02
229.48 6.065629e+02
229.58 6.009555e+02
229.69 5.954000e+02
229.79 5.898958e+02
229.89 5.844425e+02
229.89 5.790416e+02
230.00 5.157310e+02
231.00 4.690723e+02
232.00 4.162925e+02
233.00 3.699681e+02
234.00 3.319555e+02
235.00 2.880523e+02
236.00 2.541036e+02
237.00 2.232708e+02
238.00 1.972889e+02
239.00 1.724852e+02
240.00 1.511679e+02
241.00 1.299720e+02
242.00 1.129619e+02
243.00 9.879946e+01
244.00 8.458456e+01
245.00 7.337475e+01
246.00 6.359699e+01
247.00 5.496624e+01
248.00 4.686636e+01
249.00 4.013978e+01
250.00 3.437268e+01
251.00 2.926435e+01
252.00 2.480846e+01
253.00 2.108472e+01
254.00 1.773606e+01
255.00 1.491483e+01
256.00 9.738970e+00
257.00 8.219035e+00
258.00 6.904048e+00
259.00 4.788427e+00
260.00 4.010346e+00
261.00 3.125669e+00
262.00 2.565712e+00
263.00 2.091466e+00
264.00 1.709899e+00
265.00 1.392507e+00
266.00 1.122352e+00
267.00 8.983434e-01
268.00 7.193371e-01
269.00 3.465052e-01
270.00 2.376660e-01
271.00 1.552097e-01
272.00 8.842142e-02
273.00 3.930677e-02
274.00 0.000000e+00
275.00 0.000000e+00
276.00 0.000000e+00
277.00 0.000000e+00
278.00 0.000000e+00
279.00 0.000000e+00
280.00 0.000000e+00
281.00 0.000000e+00
282.00 0.000000e+00
283.00 0.000000e+00
284.00 0.000000e+00
285.00 0.000000e+00
286.00 0.000000e+00
287.00 0.000000e+00
288.00 0.000000e+00
289.00 0.000000e+00
290.00 0.000000e+00
291.00 0.000000e+00
292.00 0.000000e+00
293.00 0.000000e+00
294.00 0.000000e+00
295.00 0.000000e+00
296.00 0.000000e+00
297.00 0.000000e+00
298.00 0.000000e+00
299.00 0.000000e+00
300.00 0.000000e+00
301.00 0.000000e+00
302.00 0.000000e+00
303.00 0.000000e+00
304.00 0.000000e+00
305.00 0.000000e+00
306.00 0.000000e+00
307.00 0.000000e+00
308.00 0.000000e+00
309.00 0.000000e+00
310.00 0.000000e+00
311.00 0.000000e+00
312.00 0.000000e+00
313.00 0.000000e+00
314.00 0.000000e+00
315.00 0.000000e+00
316.00 0.000000e+00
317.00 0.000000e+00
318.00 0.000000e+00
319.00 0.000000e+00
320.00 0.000000e+00
321.00 0.000000e+00
322.00 0.000000e+00
323.00 0.000000e+00
324.00 0.000000e+00
325.00 0.000000e+00
326.00 0.000000e+00
327.00 0.000000e+00
328.00 0.000000e+00
329.00 0.000000e+00
330.00 0.000000e+00
331.00 0.000000e+00
332.00 0.000000e+00
333.00 0.000000e+00
334.00 0.000000e+00
335.00 0.000000e+00
336.00 0.000000e+00
337.00 0.000000e+00
338.00 0.000000e+00
339.00 0.000000e+00
340.00 0.000000e+00
341.00 0.000000e+00
342.00 0.000000e+00
343.00 0.000000e+00
344.00 0.000000e+00
345.00 0.000000e+00
346.00 0.000000e+00
347.00 0.000000e+00
348.00 0.000000e+00
349.00 0.000000e+00
350.00 0.000000e+00
351.00 0.000000e+00
352.00 0.000000e+00
353.00 0.000000e+00
354.00 0.000000e+00
355.00 0.000000e+00
356.00 0.000000e+00
357.00 0.000000e+00
358.00 0.000000e+00
359.00 0.000000e+00
360.00 0.000000e+00
361.00 0.000000e+00
362.00 0.000000e+00
363.00 0.000000e+00
364.00 0.000000e+00
365.00 0.000000e+00
366.00 0.000000e+00
367.00 0.000000e+00
368.00 0.000000e+00
369.00 0.000000e+00
370.00 0.000000e+00
371.00 0.000000e+00
372.00 0.000000e+00
373.00 0.000000e+00
374.00 0.000000e+00
375.00 0.000000e+00
376.00 0.000000e+00
377.00 0.000000e+00
378.00 0.000000e+00
379.00 0.000000e+00
380.00 0.000000e+00
