# Pure H2O (Via Quickenden+1980, Krockel+2014)
# Wavelength (nm), Total Extinction (cm**-1), Rayleigh Scattering (cm**-1), Absorption (cm**-1), Err (cm**-1)
267.0 2.360000e-04 4.995006e-05 1.860499e-04 1.000000e-05
268.0 2.330000e-04 4.920870e-05 1.837913e-04 1.100000e-05
269.0 2.390000e-04 4.848104e-05 1.905190e-04 1.900000e-05
270.0 2.360000e-04 4.776678e-05 1.882332e-04 2.100000e-05
271.0 2.340000e-04 4.706563e-05 1.869344e-04 2.000000e-05
272.0 1.960000e-04 4.637730e-05 1.496227e-04 2.400000e-05
273.0 2.140000e-04 4.570150e-05 1.682985e-04 1.700000e-05
274.0 2.250000e-04 4.503797e-05 1.799620e-04 2.000000e-05
275.0 2.160000e-04 4.438643e-05 1.716136e-04 1.200000e-05
276.0 1.980000e-04 4.374664e-05 1.542534e-04 1.700000e-05
277.0 2.150000e-04 4.311833e-05 1.718817e-04 1.600000e-05
278.0 2.080000e-04 4.250126e-05 1.654987e-04 2.100000e-05
279.0 2.090000e-04 4.189520e-05 1.671048e-04 1.200000e-05
280.0 2.220000e-04 4.129989e-05 1.807001e-04 1.100000e-05
281.0 2.130000e-04 4.071512e-05 1.722849e-04 1.900000e-05
282.0 1.800000e-04 4.014067e-05 1.398593e-04 2.100000e-05
283.0 1.770000e-04 3.957631e-05 1.374237e-04 1.700000e-05
284.0 1.850000e-04 3.902183e-05 1.459782e-04 2.100000e-05
285.0 1.780000e-04 3.847703e-05 1.395230e-04 3.000000e-05
286.0 1.750000e-04 3.794171e-05 1.370583e-04 2.300000e-05
287.0 1.640000e-04 3.741566e-05 1.265843e-04 2.800000e-05
288.0 1.680000e-04 3.689870e-05 1.311013e-04 2.500000e-05
289.0 1.590000e-04 3.639064e-05 1.226094e-04 1.000000e-05
290.0 1.630000e-04 3.589129e-05 1.271087e-04 2.000000e-05
291.0 1.600000e-04 3.540047e-05 1.245995e-04 1.200000e-05
292.0 1.570000e-04 3.491802e-05 1.220820e-04 1.400000e-05
293.0 1.600000e-04 3.444376e-05 1.255562e-04 2.300000e-05
294.0 1.510000e-04 3.397752e-05 1.170225e-04 3.300000e-05
295.0 1.450000e-04 3.351915e-05 1.114809e-04 3.000000e-05
296.0 1.440000e-04 3.306848e-05 1.109315e-04 3.000000e-05
297.0 1.230000e-04 3.262535e-05 9.037465e-05 2.500000e-05
298.0 1.140000e-04 3.218963e-05 8.181037e-05 2.500000e-05
299.0 1.240000e-04 3.176115e-05 9.223885e-05 1.600000e-05
300.0 1.240000e-04 3.133979e-05 9.266021e-05 2.900000e-05
301.0 1.460000e-04 3.092538e-05 1.150746e-04 2.600000e-05
302.0 1.080000e-04 3.051780e-05 7.748220e-05 2.100000e-05
303.0 1.380000e-04 3.011692e-05 1.078831e-04 2.200000e-05
304.0 1.270000e-04 2.972259e-05 9.727741e-05 1.200000e-05
305.0 1.120000e-04 2.933470e-05 8.266530e-05 1.200000e-05
306.0 1.220000e-04 2.895312e-05 9.304688e-05 1.500000e-05
307.0 1.160000e-04 2.857772e-05 8.742228e-05 2.000000e-05
308.0 1.040000e-04 2.820838e-05 7.579162e-05 2.600000e-05
309.0 1.250000e-04 2.784499e-05 9.715501e-05 1.600000e-05
310.0 1.120000e-04 2.748744e-05 8.451256e-05 9.000000e-06
311.0 1.300000e-04 2.713560e-05 1.028644e-04 2.000000e-05
312.0 1.190000e-04 2.678938e-05 9.221062e-05 1.200000e-05
313.0 1.130000e-04 2.644866e-05 8.655134e-05 1.000000e-06
314.0 1.010000e-04 2.611334e-05 7.488666e-05 2.100000e-05
315.0 1.050000e-04 2.578332e-05 7.921668e-05 1.900000e-05
316.0 9.600000e-05 2.545849e-05 7.054151e-05 5.200000e-05
317.0 1.030000e-04 2.513877e-05 7.786123e-05 1.800000e-05
318.0 9.300000e-05 2.482405e-05 6.817595e-05 1.600000e-05
319.0 1.080000e-04 2.451423e-05 8.348577e-05 5.000000e-06
320.0 1.000000e-04 2.420924e-05 7.579076e-05 6.000000e-06
